,Borough,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Main Venue Category
0,Bronx,Wakefield,40.894705176609996,-73.84720052054901,Lollipops Gelato,40.89412315020528,-73.84589162362325,Dessert Shop,Food
1,Bronx,Wakefield,40.894705176609996,-73.84720052054901,Walgreens,40.896528,-73.8447,Pharmacy,Shop & Service
2,Bronx,Wakefield,40.894705176609996,-73.84720052054901,Carvel Ice Cream,40.89048668575961,-73.84856772568665,Ice Cream Shop,Food
3,Bronx,Wakefield,40.894705176609996,-73.84720052054901,Rite Aid,40.896649,-73.84484609999998,Pharmacy,Shop & Service
4,Bronx,Wakefield,40.894705176609996,-73.84720052054901,Dunkin',40.8904587811365,-73.84908886747644,Donut Shop,Food
5,Bronx,Wakefield,40.894705176609996,-73.84720052054901,Shell,40.894187118166535,-73.84586195733381,Gas Station,Shop & Service
6,Bronx,Wakefield,40.894705176609996,-73.84720052054901,Subway,40.89046821651127,-73.8491520209833,Sandwich Place,Food
7,Bronx,Wakefield,40.894705176609996,-73.84720052054901,Pitman Deli,40.89674377441406,-73.84439849853516,Food,Food
8,Bronx,Wakefield,40.894705176609996,-73.84720052054901,Koss Quick Wash,40.891281,-73.84990400000002,Laundromat,Shop & Service
9,Bronx,Co-op City,40.87429419303012,-73.829939108124,Capri II Pizza,40.87637420537464,-73.82994042507629,Pizza Place,Food
10,Bronx,Co-op City,40.87429419303012,-73.829939108124,Rite Aid,40.8703448818904,-73.82830202579498,Pharmacy,Shop & Service
11,Bronx,Co-op City,40.87429419303012,-73.829939108124,Dollar Tree,40.87012498449601,-73.82898863175873,Discount Store,Shop & Service
12,Bronx,Co-op City,40.87429419303012,-73.829939108124,United States Postal Service,40.876544999714135,-73.82897794246674,Post Office,Professional & Other Places
13,Bronx,Co-op City,40.87429419303012,-73.829939108124,Bagels on Bartow,40.87028,-73.828611,Bagel Shop,Food
14,Bronx,Co-op City,40.87429419303012,-73.829939108124,Food Universe Marketplace,40.876739879810536,-73.82898048976519,Grocery Store,Shop & Service
15,Bronx,Co-op City,40.87429419303012,-73.829939108124,Arby's,40.870411299999994,-73.82860600000001,Fast Food Restaurant,Food
16,Bronx,Co-op City,40.87429419303012,-73.829939108124,Townhouse Restaurant,40.876085887834265,-73.82886815052547,Restaurant,Food
17,Bronx,Co-op City,40.87429419303012,-73.829939108124,truman track n field,40.87496253317124,-73.83084729386773,Baseball Field,Outdoors & Recreation
18,Bronx,Co-op City,40.87429419303012,-73.829939108124,Capri Deli,40.876220703125,-73.8296890258789,Deli / Bodega,Food
19,Bronx,Co-op City,40.87429419303012,-73.829939108124,Kennedy's,40.87680662096625,-73.82962703704834,Fast Food Restaurant,Food
20,Bronx,Co-op City,40.87429419303012,-73.829939108124,GREEN WAY IN CO OP CITY,40.87454754839479,-73.82618915642101,Trail,Outdoors & Recreation
21,Bronx,Co-op City,40.87429419303012,-73.829939108124,The Park,40.87764512391663,-73.8308358066107,Park,Outdoors & Recreation
22,Bronx,Co-op City,40.87429419303012,-73.829939108124,MTA MaBSTOA Bus Bx23 / Bx30 / Bx38 / Q50 at Donizetti Place & Baychester Ave (Section 1),40.87618793183889,-73.83383813932801,Bus Station,Travel & Transport
23,Bronx,Co-op City,40.87429419303012,-73.829939108124,Associated Supermarket,40.87064758087657,-73.82878532053863,Supermarket,Shop & Service
24,Bronx,Eastchester,40.887555677350775,-73.82780644716412,Fish & Ting,40.885656,-73.829197,Caribbean Restaurant,Food
25,Bronx,Eastchester,40.887555677350775,-73.82780644716412,Cozy Cottage Restaurant,40.88633207186384,-73.8276156192422,Diner,Food
26,Bronx,Eastchester,40.887555677350775,-73.82780644716412,Mario's Pizza,40.888627624391134,-73.83126012557018,Pizza Place,Food
