,Borough,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,North York,Parkwoods,43.7532586,-79.3296565,Brookbanks Park,43.751976046055574,-79.33214044722958,Park
1,North York,Parkwoods,43.7532586,-79.3296565,Variety Store,43.75197441585782,-79.33311418516017,Food & Drink
2,North York,Parkwoods,43.7532586,-79.3296565,Corrosion Service Company Limited,43.75243208667859,-79.33466148402657,Construction
3,North York,Victoria Village,43.7258823,-79.31557159999998,Victoria Village Arena,43.723480555455076,-79.31563520925144,Hockey
4,North York,Victoria Village,43.7258823,-79.31557159999998,Portugril,43.725818762672425,-79.31278541470671,Portuguese
5,North York,Victoria Village,43.7258823,-79.31557159999998,Tim Hortons,43.725516631714754,-79.31310251366091,Coffee Shop
6,North York,Victoria Village,43.7258823,-79.31557159999998,Eglinton Ave E & Sloane Ave/Bermondsey Rd,43.726085999999995,-79.31362,Intersection
7,North York,Victoria Village,43.7258823,-79.31557159999998,Pizza Nova,43.7258237263522,-79.31286041792906,Pizza
8,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,Roselle Desserts,43.653446723052674,-79.3620167174383,Bakery
9,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,Tandem Coffee,43.65355870959944,-79.36180945913512,Coffee Shop
10,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,Cooper Koo Family YMCA,43.653249101772445,-79.35800826343677,Distributor
11,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,Body Blitz Spa East,43.654735050453645,-79.35987433132891,Spa
12,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,Dominion Pub and Kitchen,43.65691857501867,-79.35896684476664,Pub
13,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,Corktown Common,43.65561779974973,-79.35621133974291,Park
14,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,Impact Kitchen,43.65636850543279,-79.35697968750694,Restaurant
15,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,Morning Glory Cafe,43.6539469426353,-79.36114884214422,Breakfast
16,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,The Extension Room,43.65331304337331,-79.35972538072777,Gym / Fitness
17,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,The Distillery Historic District,43.65024435658077,-79.35932278633119,Historic Site
18,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,Distillery Sunday Market,43.650074989330655,-79.36183171318666,Farmer's Market
